variable,n,min,max,median,q1,q3,iqr,mad,mean,sd,se,ci
dimensao1,56,1.25,4.75,3.125,2.25,3.812,1.562,1.297,3.129,0.935,0.125,0.251
dimensao2,56,1.25,5,3.25,2.25,4.25,2,1.483,3.17,1.111,0.148,0.298
dimensao3,56,1.5,4.75,3.75,2.75,4.25,1.5,1.112,3.469,0.957,0.128,0.256
dimensao4,56,1.5,4.75,3.5,2.5,4,1.5,1.112,3.29,0.874,0.117,0.234
dimensao5,56,1.5,4.75,3.375,2.5,3.812,1.312,0.927,3.223,0.862,0.115,0.231
dimensao6,56,1.5,4.75,3.25,2.5,4.062,1.562,1.112,3.241,0.934,0.125,0.25
dimensao7,56,1.5,5,3.375,2.25,4,1.75,1.297,3.17,0.951,0.127,0.255
dimensao8,56,1,5,3.375,2.5,4,1.5,0.927,3.246,0.968,0.129,0.259
dimensao9,56,1,4.25,3.25,2.25,3.562,1.312,0.927,2.973,0.867,0.116,0.232
media,56,1.833,4.278,3.236,2.66,4,1.34,1.091,3.227,0.767,0.103,0.206
